ESCO Company Name,Address,Phone,Fax,Email,Website,Commodity,Territory,Service Class
Freepoint Energy Solutions LLC,"3050 Post Oak Blvd. Ste. 1330, Houston, TX 77056",713 239 8000,713 583 9087,customerrelations@freepointsolutions.com,http://freepointsolutions.com/,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving
Galaxy Energy LLC,"420 Central Ave, 3rd Floor, Cedarhurst, NY 11516",855-666-1566,718-679-9523,cs@galaxyenergyus.com,http://galaxyenergyus.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || Orange and Rockland Utilities, Inc.;",Residential - Serving || Small Commercial - Serving
Gateway Energy Services Corp,"910 Louisiana St., Houston, TX 77002",713-537-3000,877-326-6810,customercare@gesc.com,http://www.gesc.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Corning Natural Gas Corporation; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Global Energy, LLC d/b/a NYC Clean Energy","214 Saint Paul St. Ste. #1, Westfield, NJ 07090",718-303-9630,718-408-4923,info@globalenergyllc.net,http://www.globalenergyllc.net,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
"Great American Gas & Electric, LLC","550 Mamaroneck Ave, Suite 305 A, Harrison, NY 10528",1-866-269-9393,,support@ga-ge.com,http://www.ga-ge.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Certified - Not Serving || Residential - Serving || Small Commercial - Certified - Not Serving || Small Commercial - Serving
Green Mountain Energy Company,"3711 Market Street, Suite 1000, Philadelphia, PA 19104",855-534-4620,,NYCustomerCare@greenmountain.com,https://www.greenmountainenergy.com/nyptc/,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Green USA, LLC","20900 NE 30th Ave., Suite 200, Avntura, FL 33180",888-612-2624,,customerservices@greenusaenergy.com,http://www.greenusaenergy.com,ELECTRIC,,Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
Greenlight Energy Inc.,"310 New York Ave., Huntington, NY 11706",(888) 453-4427,718-575-1400,sales@gogreenlightenergy.com,http://www.gogreenlightenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
"Grid Power Direct, LLC","1 Metrotech Center North, Brooklyn, NY 11201",347-799-1685,347-799-1686,info@gridpowerdirect.com,https://www.gridpowerdirect.com/,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Long Island Power Authority; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving
"Hudson Energy Services, LLC","5251 Westheimer Road, Suite 1000, Houston, TX 77056",(845) 228-3400,877-832-4279,CSNY@hudsonenergy.net,http://www.hudsonenergy.net,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"IDT Energy, Inc.","520 Broad Street, Newark, NJ 07102",973-438-3920,973-438-1878,contactus@idtenergy.com,http://www.idtenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
IGS Energy,"6100 Emerald Parkway, Dublin, OH 43016",(614) 659-5000,(614) 659-5073,customersupport@igs.com,http://www.igs.com,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || National Fuel Gas Distribution Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.;",Residential - Serving || Small Commercial - Serving
"Inspire Energy Holdings, LLC","3402 Pico Blvd., Ste. 300, Santa Monica, CA 90405",888-461-2574,866-559-7236,help@inspirecleanenergy.com,https://www.inspirecleanenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Residential - Serving || Small Commercial - Serving
"Institutional Energy Buyers of New York, LLC","1408 Sweet Home Road Ste. 8, Amherst, NY 14228",716-471-9100,716-932-7337,jmascaro@iebnewyork.com,http://www.iebnewyork.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving
"Iridium Energy, LLC","420 Central Ave, 3rd Floor, Cedarhurst, NY 11516",718-490-2806,718-679-9523,aesses@gmail.com,https://www.iridiumenergyus.com/,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Small Commercial - Serving
Just Energy,"5251 Westheimer Road, Suite 1000, Houston, TX 77056",714-259-2508,866-299-3749,cseast@justenergy.com,http://www.justenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Long Island Power Authority; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
Keyspan Energy of Long Island,,,,,,ELECTRIC,,Residential - Serving || Small Commercial - Serving
Keyspan Energy of New York,,,,,,ELECTRIC,,Residential - Serving || Small Commercial - Serving
"Kiwi Energy NY, LLC.","200 Park Avenue South, Suite 1301, New York, NY 10003",877-208-7636,713-265-2175,info@kiwienergy.us,http://www.kiwienergy.us,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Logical Buildings,"290 W. Mt. Pleasant Avenue, Suite 1360, Livingston, NJ 07039",908-517-3730,908-277-2367,info@logicalbuildings.com,http://www.logicalbuildings.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Residential - Serving || Small Commercial - Serving
Logistic Energy LLC,"5536 Lanier Ave., Camp Springs, MD 20746",301-996-1157,,logisticenergy@yahoo.com,http://logisticenergyllc.com/,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Residential - Certified - Not Serving || Small Commercial - Serving
"Lyonsdale Biomass, LLC","159 Wolf Road, Suite 301, Albany, NY 12205",518-810-0200,518-640-9323,nhebel@reenergyholdings.com,http://www.reenergyholdings.com,ELECTRIC,Niagara Mohawk Power Corporation d/b/a National Grid;,Commercial/Industrial - Serving
M&R Energy Resources Corporation,"PO Box 4091, New Windsor, NY 12553",845-534-5462,845-534-0171,info@mandrenergy.com,http://www.mandrenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || New York State Electric & Gas Corporation; || Orange and Rockland Utilities, Inc.;",Residential - Serving || Small Commercial - Serving
"Main Care Energy, Inc.","1 Booth Lane, Albany, NY 12205",518-438-7856,518-436-2578,customercare@maincareenergy.com,http://www.maincareenergy.com,GAS,Niagara Mohawk Power Corporation d/b/a National Grid;,Residential - Serving || Small Commercial - Serving
"Major Energy Electric Services, LLC","12140 Wickchester Ln, Suite 100, Houston, TX 77079",888-625-6760,718-228-2552,customercare@majorenergy.com,http://www.MajorEnergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Residential - Serving || Small Commercial - Serving
"Major Energy Services, LLC","12140 Wickchester Ln, Suite 100, Houston, TX 77079",888-625-6760,718-228-2552,customercare@majorenergy.com,http://www.majorenergy.com,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Mayflower Power & Gas LLC,"123 Grove Avenue, Cedarhurst, NY 11516",718-855-2967,,mayflowerpgllc@gmail.com,http://www.mayflowerpg.com,ELECTRIC,KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;,Commercial/Industrial - Serving || Small Commercial - Serving
Median Energy Corp.,"1 Lethbridge Plaza, Suite 2, Mahwah, NJ 07430",888-316-5443,888-225-0195,all@medianenergy.com,http://www.medianenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
"Messer Energy Services, Inc.","1 Greenwich Street, Suite 200, Stewartsville, NJ 08886",908-329-9540,908-329-9631,,http://www.linde.com,ELECTRIC,Niagara Mohawk Power Corporation d/b/a National Grid;,Commercial/Industrial - Serving
"Mid American Natural Resources, LLC","558 West 6th Street, Suite 300, Erie, PA 16507",(814) 455-2761,(814) 455-3153,info@manrenergy.com,http://www.manrenergy.com,GAS,National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Rochester Gas and Electric Corporation;,Commercial/Industrial - Serving
"MidAmerican Energy Services, LLC","4121 NW Urbandale Dr., Urbandale, IA 50322",800-432-8574,563-333-8563,support@midamericanenergyservices.com,https://www.midamericanenergyservices.com/,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Residential - Certified - Not Serving || Small Commercial - Serving
"Mirabito Power & Gas, LLC","49 Court Street, PO Box 5306, Binghamton, NY 13902",866-614-9373,607-352-2819,MPGinfo@mirabito.com,https://www.mirabito.com,ELECTRIC,New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation;,Residential - Serving || Small Commercial - Serving
"Mpower Energy, LLC","24 Hillel Place, Brooklyn, NY 11210",877-286-7693,718-307-6472,save@mpowerenergy.com,http://www.mpowerenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
NRG Business,"1001 Liberty Avenue, Suite 1200, Pittsburgh, PA 15222",800-830-5923,(866) 421-0257,CustomerRelations@directenergy.com,http://www.business.directenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Long Island Power Authority; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving
NRG Business Marketing.,"804 Carnegie Center, Princeton, NJ 08540",800-830-5923,,clientsupport@nrg.com,,ELECTRIC,,Commercial/Industrial - Serving
"NRG Home, NRG Business and NRG Retail Solutions","3711 Market St. Suite 1000, Philadelphia, PA 19104",855-500-8703,866-472-1415,support@picknrg.com,https://www.picknrg.com/en/,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Corning Natural Gas Corporation; || KeySpan Gas East Corporation d/b/a National Grid; || Long Island Power Authority; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"National Gas & Electric, LLC","12140 Wickchester, Suite 100, Houston, TX 77042",888-442-0002,346-207-3890,service@ngande.com,https://rates.ngande.com/rates/index?promocode=NYCHOICE,ELECTRIC,,Commercial/Industrial - Serving
"New Wave Energy, LLC","410 Main St., 4th Floor, Buffalo, NY 14202",7168879700,866-316-9366,support@nwavenergy.com,https://newwaveenergy.com/,ELECTRIC,National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation;,Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Next Utility Energy LLC,"1325 6th Avenue, Floor 28, New York, NY 10019",888-789-6355,888-789-6355,contact@nextutilityenergy.com,http://www.nextutilityenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Long Island Power Authority; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
"NextEra Energy Services New York, LLC","20455 State Highway 249, Suite 200, Houston, TX 77070",713-470-0445,713-401-5842,custserv@nexteraenergyservices.com,http://www.nexteraenergyservices.com,ELECTRIC,,Commercial/Industrial - Serving
"Noco Electric, LLC.","2440 Sheridan Drive, Tonawanda, NY 14150",716-614-3248,716-883-1480,questions@noco.com,http://www.noco.com,ELECTRIC,National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation;,Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Noco Natural Gas, LLC.","2440 Sheridan Drive, Tonawanda, NY 14150",716-614-3248,(716) 614-1480,questions@noco.com,http://www.noco.com,GAS,National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation;,Commercial/Industrial - Certified - Not Serving || Residential - Serving || Small Commercial - Serving
"Nordic Energy Services, LLC","One Tower Lane, Suite 300, Oakbrook Terrace, IL 60181",630-321-0888,888-370-2027,customerservice@nordicenergy-us.com,http://www.nordicenergy-us.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Long Island Power Authority; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Residential - Serving || Small Commercial - Serving
"Northeastern Power and Gas, LLC","11 Covert St., Fl 2., Brooklyn, NY 11207",929-506-1026,929-296-7262,support@nepower.com,http://www.nepower.com,ELECTRIC,Central Hudson Gas & Electric Corporation;,Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
"Open Book Energy, LLC","2350 North Forest Road, Getzville, NY 14068",(716) 639-7707,(716) 639-7709,customerservice@openbookenergy.com,http://www.ecmcompany.com/,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving
"Pay Less Energy, LLC","19790 W. Dixie Hwy, Suite 1101, Aventura, FL 33180",551-777-1676,,support@paylessenergyllc.com,http://www.paylessenergyllc.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Corning Natural Gas Corporation; || KeySpan Gas East Corporation d/b/a National Grid; || Long Island Power Authority; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || St. Lawrence Gas Company, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
"Platinum Energy, LLC.","266 Bangor Street, Lindenhurst, NY 11757",631-691-1700,631-691-1711,accounting@1energygroup.com,http://www.1energygroup.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Long Island Power Authority; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Polaris Power Services LLC,"65 Ramapo Valley Rd, 103, Mahwah, NJ 07430",8453165800,,info@polarispwr.com,https://polarispwr.com/enrollment/?src=rb,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Power Up Energy, LLC","991 US Highway 22 West Suite 200, Bridgewater, NJ 08807",1-866-223-9166,347-514-9910,,http://www.powerupenergyus.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Premier Empire Energy LLC,"230 Park Avenue, New York, NY 10017",646-435-5866,646-349-2037,customercare@premierempireenergy.com,http://www.premierempireenergy.net,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Certified - Not Serving || Commercial/Industrial - Serving || Residential - Certified - Not Serving || Residential - Serving || Small Commercial - Serving
"Pro Energy, Inc.","1820 Route 20, Silver Creek, NY 14136",(716) 934-7726,(716) 934 0100,sales@proenergyusa.com,http://www.Proenregyusa.com,GAS,National Fuel Gas Distribution Corporation;,Commercial/Industrial - Serving
"Public Power, LLC","6555 Sierra Drive, Irving, TX 75039",214-812-4600,,service@ppandu.com,https://www.publicpowercompany.com/?rfid=PUC_New_York,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
Pure Energy,"3 Columbus Circle 15th Floor, NY, NY 10019",718-273-8926,,compliance@pureenergyus.com,http://www.pureeneryus.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Quantum Power Corp.,"95 New Dorp Plaza, Staten Island, NY 10306",212-634-7181,718-987-3395,mm@quantumpowercorp.com,http://www.quantumpowercorp.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Relief Energy LLC,"483 Murray Street, Pelham, NY 10803",347-701-5381,919-981-9933,info@reliefenergyus.com,http://www.reliefenergyus.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
"Renaissance Power & Gas, Inc.","5795 Sandhill Road, Suite E, Las Vegas, NV 89120",888-811-0877,702-979-1278,customerservice@renpowerandgas.com,http://www.renaissancepowerandgas.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || Niagara Mohawk Power Corporation d/b/a National Grid;",Residential - Serving || Small Commercial - Serving
ResidentShield Power,"201 W. Lake Street, Suite 153, Chicago, IL 60606",212-400-4832,917-522-9680,gogreen@phoenixenergygroup.com,http://www.phoenixenergygroup.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Residents Energy, LLC","520 Broad Street, Newark, NJ 07102",888-828-7374,973-438-1878,Contactus@residentsenergy.com,http://www.residentsenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Robison Energy, LLC","99 Wall Street, Suite 655, New York, NY 10005",866-947-9148,,Service@robisonpowerandgas.com,https://www.RobisonPowerandGas.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"S.J. Energy Partners, Inc.","601 Union Street, Brooklyn, NY 11215",(718) 855-6060,(718) 855-7309,support@sjfuelco.com,http://www.sjenergypartners.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || Long Island Power Authority; || New York State Electric & Gas Corporation; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
SelfServe Energy Corp,"217 Olmstead Hill Road, Wilton, CT 06897",858-280-0288,,customerservice@selfserve.energy,http://www.selfserve.energy,ELECTRIC,,Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
"Shell Energy North America (US), L.P.","1000 Main Street, Level 12, Houston, TX 77002",1-800-281-2824,713-230-2901,,http://www.shell.com/us/energy,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation; || St. Lawrence Gas Company, Inc.;",Commercial/Industrial - Certified - Not Serving
"Smart Energy Holdings, LLC","400 Madison Avenue, Suite 9A, New York, NY 10017",212-779-7000,212-779-3061,Customer.Service@smartenergy.com,http://www.smartenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Long Island Power Authority; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Certified - Not Serving || Residential - Certified - Not Serving || Small Commercial - Certified - Not Serving
Smartest Energy US LLC,"333 W. Washington St., Suite 140, Syracuse, NY 13202",1-800-448-0995,315-282-2707,customer-services-US@SmartestEnergy.com,http://www.SmartestEnergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Snyder Brothers, Inc.","P.O. Box 1022, One Glade Park East, Kittanning, PA 16201",724-548-8101,724-919-4664,gasmarketing@snydercos.com,http://www.snyderbrothersinc.com/,GAS,National Fuel Gas Distribution Corporation;,Commercial/Industrial - Serving
South Bay Energy Corp.,"54 State Street, Suite 804 #7818, Albany, NY 12207",(631) 724-9010,(631) 724-9011,info@southbayenergy.com,http://southbayenergy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
South Energy LLC,"P.O. Box 21126, Durham, NC 27703",919-771-8369,984-329-7880,info@southenergyllc.com,http://www.southenergyllc.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Corning Natural Gas Corporation; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || St. Lawrence Gas Company, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
"Southern Energy Solution Group, LLC","2336 S. East Ocean Blvd. #204, Stuart, FL 34996",772-919-2844,772-872-5240,info@soenergy-grp.com,http://www.soenergy-grp.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving
"Sprague Energy Solutions, Inc.","185 International Drive, Portsmouth, NH 03801",(603) 431-1000,(603) 430-5324,customercare@spragueenergy.com,http://www.spragueenergy.com,GAS,,Commercial/Industrial - Serving
Sprague Natural Gas,"185 International Drive, Portsmouth, NH 03801",603-431-1000,603-430-5324,customercare@spragueenergy.com,http://www.spragueenergy.com,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Corning Natural Gas Corporation; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || St. Lawrence Gas Company, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
